Restaurant/Bar Name,City/Area,Type,Values/Tags,Notes,Source URL
Slice Brothers Pizza,St. Paul & Suburbs,Restaurant,"Black Owned, POC Owned","Founded 2021 by Adam Kado and Hosie Thurmond; locations at Mall of America, downtown St. Paul, Midtown Global Market",https://www.buyblack.org/articles/celebrating-juneteenth-top-black-owned-restaurants-to-support-in-the-twin-cities
Sammy's Avenue Eatery,Minneapolis (N Broadway),Restaurant,"Black Owned, POC Owned",Neighborhood staple known for excellent sandwiches; 1101 W Broadway Ave,https://www.mnufc.com/community/black-owned-businesses
Tommie's Pizza,St. Paul (Selby Ave),Restaurant,"Black Owned, POC Owned",New York-style pizza; 1556 Selby Ave,https://www.mnufc.com/community/black-owned-businesses
Nashville Coop,Minneapolis & St. Paul,Restaurant,"Black Owned, POC Owned",Hot chicken; multiple locations including Richfield and St. Paul,https://www.mnufc.com/community/black-owned-businesses
Tender Lovin' Chix,Minneapolis (Lyn-Lake),Restaurant,"Black Owned, POC Owned, Anti-ICE Solidarity","Fried chicken with ""Blackenese"" flavors; posted solidarity Jan 2026",https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Get Down Coffee Co.,Minneapolis,Café,"Black Owned, POC Owned",Near Minnehaha Falls; community-focused coffee shop,https://www.mnufc.com/community/black-owned-businesses
Wendy's House of Soul,Minneapolis (N Humboldt),Restaurant,"Black Owned, POC Owned",4414 N Humboldt Ave; soul food,https://www.mnufc.com/community/black-owned-businesses
Red Sea Restaurant,Minneapolis,Restaurant,"Black Owned, POC Owned",Ethiopian cuisine with live music/dance floor,https://www.minnesotamonthly.com/arts-entertainment/guide-to-twin-cities-black-owned-business/
Taste of Africa,Brooklyn Park,Restaurant,"Black Owned, POC Owned",West African cuisine including jollof rice and fufu,https://mspmag.com/arts-and-culture/black-owned-businesses-in-the-twin-cities/
Golden Thyme Coffee & Cafe,St. Paul,Café,"Black Owned, POC Owned",Long-standing St. Paul gathering space; co-owned by Stephanie and Mychael Wright; temporarily closed seeking new location,https://mspmag.com/arts-and-culture/black-owned-businesses-in-the-twin-cities/
Flava Cafe,St. Paul,Café/Restaurant,"Black Owned, POC Owned","623 University Ave W, St. Paul; listed on Visit Saint Paul Black-owned guide",https://www.visitsaintpaul.com/things-to-do/shopping/black-owned-businesses/
Selam Restaurant,Minneapolis,Restaurant,"Black Owned, POC Owned",Ethiopian restaurant; 3860 Minnehaha Ave,https://www.mnufc.com/community/black-owned-businesses
The Saloon,Minneapolis (Downtown),Bar,"LGBT+ Owned, LGBT+ Friendly",Gay-owned queer space; LGBTQ+ community hub since 1977; Pride block parties,https://www.minneapolis.org/lgbtq-community/bars-clubs/
Gay 90's,Minneapolis (Downtown),Bar/Nightclub,LGBT+ Friendly,"Mega gay bar/nightclub; 8 bars, drag shows, dance floors; cornerstone of Minneapolis LGBTQ nightlife",https://www.minneapolis.org/lgbtq-community/bars-clubs/
19 Bar,Minneapolis,Bar,LGBT+ Owned,Oldest continuously running gay-owned gay bar in the US; opened 1952; 19 W 15th St,https://300clifton.com/things-to-do/gay-minneapolis/
Eagle MPLS (eagleBOLTbar),Minneapolis,Bar,LGBT+ Friendly,Gay bar/grill near US Bank Stadium; dog-friendly patio; welcoming of all LGBTQIA+,https://www.eaglempls.com/
Black Hart of St. Paul,St. Paul,Bar,"LGBT+ Friendly, Anti-ICE Solidarity",Queer soccer bar; owner Wes Burdine actively monitors ICE activity and supports immigrant community; drag shows,https://www.minnpost.com/economy/2026/01/immigrant-run-restaurants-minneapolis-twin-cities-determined-to-survive-ice-crackdown/
LUSH,Minneapolis,Bar,LGBT+ Friendly,"Drag shows, drag brunch, themed dance nights; weekly RuPaul's Drag Race viewing parties",https://help.lex.lgbt/article/117-irl-lex-guide-to-queer-minneapolis-nightlife-lgbtq-bars
Jetset Underground,Minneapolis,Bar/Nightclub,LGBT+ Friendly,New York-style gay lounge and dance club; recently revived,https://www.minneapolis.org/lgbtq-community/bars-clubs/
A Bar of Their Own,Minneapolis,Bar,"LGBT+ Owned/Friendly, Women-Owned, Anti-ICE Solidarity",First lesbian sports bar in Twin Cities showing exclusively women's sports; family-friendly; posted solidarity Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Norseman Distillery,Minneapolis,Bar/Distillery,LGBT+ Friendly,Listed as LGBTQ-friendly on Meet Minneapolis; over 60 house-made spirits; outdoor seating,https://www.minneapolis.org/lgbtq-community/bars-clubs/
Modist Brewing,Minneapolis,Brewery/Bar,"LGBT+ Owned, Anti-ICE Solidarity",Gay-owned brewery; deeply involved in LGBTQ+ community; posted solidarity Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Birchwood Café,Minneapolis,Restaurant/Café,"Eco-Friendly, Farm-to-Table, Women-Owned",Pioneer of Twin Cities local food movement; sources from 40+ local producers; owner Tracy Singleton,https://discoverthecities.com/best-farm-to-table-restaurants-minneapolis-st-paul/
Tiny Diner,Minneapolis (South),Restaurant,"Eco-Friendly, Farm-to-Table, Sustainable","Solar-powered; on-site edible garden and rainwater catchment; bio-intensive farming education; note: closed winters, reopening spring 2026",https://www.minneapolis.org/food-drink/restaurants/farm-to-table/
Brasa Premium Rotisserie,Minneapolis (NE & Nokomis),Restaurant,"Eco-Friendly, Farm-to-Table",Sources from regional farms; organic produce and eggs; fair trade coffee; Southern US/Caribbean/Mexican flavors,https://www.minneapolis.org/food-drink/restaurants/farm-to-table/
French Meadow Bakery & Cafe,Minneapolis & St. Paul,Restaurant/Bakery,"Eco-Friendly, Organic, Farm-to-Table, Women-Owned",First certified organic bakery in the US (1985); sources from 12+ local farms; founded by Lynn Gordon,https://www.frenchmeadowcafe.com/
Wise Acre Eatery,Minneapolis,Restaurant,"Eco-Friendly, Farm-to-Table, LGBT+ Friendly",Owner Scott Endres (LGBTQ) runs on-site farm using chemical-free regenerative agriculture; greenhouse and aquaponics,https://www.travelmag.com/articles/sustainable-restaurants-minneapolis-st-paul/
Owamni by The Sioux Chef,Minneapolis (Downtown),Restaurant,"Indigenous Owned, POC Owned, Eco-Friendly, Anti-ICE Solidarity",James Beard Award best new restaurant 2022; decolonized Indigenous menu; owned by NATIFS nonprofit; sources from BIPOC/women producers; posted solidarity Jan 2026,https://owamni.com/
Red Stag Supperclub,Minneapolis,Restaurant,"Eco-Friendly, Sustainable",First LEED-CI certified restaurant in Minnesota; first US facility using only LED lighting; composts and recycles; supports social justice nonprofits,https://gogreentravelgreen.com/organic-restaurants-minneapolis-st-paul/
Heartland Restaurant,St. Paul (Lowertown),Restaurant,"Eco-Friendly, Farm-to-Table",Sources from 40+ local artisanal producers and small family farmers; on-site farm direct market; nightly changing menu,https://gogreentravelgreen.com/organic-restaurants-minneapolis-st-paul/
The Craftsman,Minneapolis,Restaurant,"Eco-Friendly, Farm-to-Table",Seasonal menu with organic produce from local co-ops and farms; humanely raised meat; 600 E Hennepin Ave,https://gogreentravelgreen.com/organic-restaurants-minneapolis-st-paul/
Tongue in Cheek,St. Paul (East Side),Restaurant,"Eco-Friendly, Sustainable",Uses only animal products from humane and sustainable farms; 989 Payne Ave,https://www.counselorrealty.com/blog/2019/08/09/from-farm-to-table-around-minneapolis-st-paul-2
Spoonriver,Minneapolis (Mill City),Restaurant,"Eco-Friendly, Farm-to-Table, Women-Owned",Founded by Brenda Langton; pioneer of Twin Cities locavore scene; near Mill City Farmers Market,https://andrewzimmern.com/7-real-deal-farm-to-table-minnesota-restaurants/
Tullibee,Minneapolis (North Loop),Restaurant,"Eco-Friendly, Farm-to-Table",Inside Hewing Hotel; hyper-local sourcing; Scandinavian roots; farm-to-table philosophy,https://www.minneapolis.org/food-drink/restaurants/farm-to-table/
Farmers Kitchen + Bar,Minneapolis (Downtown),Restaurant,"Eco-Friendly, Farm-to-Table, Worker/Farmer Cooperative",Entirely owned and operated by Minnesota Farmers Union; true farmer-to-table concept,https://farmerskitchenandbar.com/
The Happy Gnome,St. Paul (Cathedral Hill),Bar/Restaurant,"Eco-Friendly, Farm-to-Table",Award-winning gastropub; fresh seasonal selections from local growers; 498 Selby Ave,https://www.counselorrealty.com/blog/2019/08/09/from-farm-to-table-around-minneapolis-st-paul-2
Mill Valley Kitchen,Minneapolis (St. Louis Park),Restaurant,"Eco-Friendly, Farm-to-Table","Local, organic, farm-to-table; California-inspired; seasonal menu; at Excelsior Blvd & France Ave",https://www.opentable.com/features/best-organic-restaurants-minneapolis-mn
Hai Hai,Minneapolis (NE),Restaurant,"Women-Owned, POC Owned, Immigrant Owned, Anti-ICE Solidarity","Vietnamese street food by chef Christina Nguyen, daughter of Vietnamese immigrants; 2024 James Beard Best Chef Midwest; posted solidarity Jan 2026",https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Hola Arepa,Minneapolis,Restaurant,"Women-Owned, Anti-ICE Solidarity",Venezuelan-inspired food by Christina Nguyen; posted solidarity Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Pizzeria Lola,Minneapolis (SW),Restaurant,Women-Owned,James Beard-nominated Chef Ann Kim; wood-fired pizza; featured on Netflix Chef's Table,https://www.yeswaytravel.com/twin-cities-1
Hello Pizza,Minneapolis,Restaurant,Women-Owned,By Chef Ann Kim of Pizzeria Lola,https://www.yeswaytravel.com/twin-cities-1
Khâluna,Minneapolis (South),Restaurant,"Women-Owned, POC Owned, Immigrant Owned","Lao cuisine by Ann Ahmed, Laotian immigrant; 2023/2024 James Beard nominee",https://www.minneapolis.org/blog/female-chefs/
Diane's Place,Minneapolis (NE),Restaurant,"Women-Owned, POC Owned, Immigrant Owned",Hmong comfort food and pastries by Diane Moua; 2024 Restaurant of the Year MSP Mag; James Beard pastry nominee,https://mspmag.com/eat-and-drink/foodie/restaurants-of-the-year-2024/
Myriel,St. Paul,Restaurant,Women-Owned,Chef Karyn Tomlinson; 2025 James Beard Best Chef Midwest; first St. Paul chef to win,https://www.minneapolis.org/blog/female-chefs/
Vinai,Minneapolis,Restaurant,"POC Owned, Immigrant Owned",Hmong cuisine by Yia Vang; 2024 Restaurant of the Year MSP Mag,https://mspmag.com/eat-and-drink/foodie/restaurants-of-the-year-2024/
Hell's Kitchen,Minneapolis (Downtown),Restaurant,Women-Owned,By Cynthia and Katy Gerdes (mother/daughter team); iconic downtown Minneapolis spot,https://mspmag.com/eat-and-drink/foodie/where-to-support-women-run-establishments-in-the-twin-cities/
Urban Growler Brewing,St. Paul,Brewery/Bar,Women-Owned,First woman-owned microbrewery in Minnesota; founded by Deb Loch and Jill Pavlak,https://www.yeswaytravel.com/twin-cities-1
El Burrito Mercado,St. Paul (Lake St),Restaurant/Market,"Women-Owned, POC Owned, Immigrant Owned, Anti-ICE Solidarity",Run by Milissa Silva-Diaz; Mexican market/restaurant; community heart of St. Paul Latino community; posted solidarity Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Betty Danger's Country Club,Minneapolis (NE),Restaurant/Bar,Women-Owned,Unique rotating patio; owned by Leslie Bock (also owns Psycho Suzi's),https://mspmag.com/eat-and-drink/foodie/24-women-owned-food-and-drink-spots-in-the-twin-cities/
Psycho Suzi's Motor Lounge,Minneapolis (NE),Bar/Restaurant,Women-Owned,Tiki bar; owned by Leslie Bock,https://mspmag.com/eat-and-drink/foodie/24-women-owned-food-and-drink-spots-in-the-twin-cities/
Honey & Rye Bakehouse,Minneapolis,Bakery/Café,"Women-Owned, Anti-ICE Solidarity",Sisters Peggy Teed and Dodie Green; artisan bakery; posted solidarity Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Càphin (Caphin Minneapolis),Minneapolis (Downtown),Café,"Immigrant Owned, Anti-ICE Solidarity",Vietnamese café; co-owners Savio and Jenny Nguyen (children of Vietnamese immigrants) turned second location into donation/volunteer HQ during ICE crackdown Jan 2026,https://www.minnpost.com/economy/2026/01/immigrant-run-restaurants-minneapolis-twin-cities-determined-to-survive-ice-crackdown/
Pow Wow Grounds Coffee,Minneapolis,Café,"Indigenous Owned, Anti-ICE Solidarity",Activated as ICE patrol observation and rapid response HQ; community support center Jan 2026,https://racketmn.com/with-the-twin-cities-under-siege-restaurants-become-hubs-of-solidarity
Duck Duck Coffee,Minneapolis (38th St),Café,Anti-ICE Solidarity,Organized luggage drive for deported families; community hub during ICE crackdown,https://racketmn.com/with-the-twin-cities-under-siege-restaurants-become-hubs-of-solidarity
Briar Bar,Minneapolis (NE),Bar,Anti-ICE Solidarity,Distributed 500+ whistles and Know Your Rights zines; hosted mail-your-elected-official station and protest sign making; food drive,https://racketmn.com/with-the-twin-cities-under-siege-restaurants-become-hubs-of-solidarity
My Huong Kitchen,Minneapolis (Eat Street),Restaurant,"Immigrant Owned, Anti-ICE Solidarity",Owner Tracy Wong sheltered community members choking on tear gas after ICE shooting near restaurant Jan 2026,https://mspmag.com/eat-and-drink/foodie/restaurants-ice-operation-metro-surge-economic-strain/
Copper Hen,Minneapolis (Eat Street),Restaurant,"Women-Owned, Anti-ICE Solidarity",Transformed into a makeshift field hospital during ICE shooting on Eat Street Jan 2026,https://mspmag.com/eat-and-drink/foodie/restaurants-ice-operation-metro-surge-economic-strain/
Chimborazo,Minneapolis,Restaurant,"Immigrant Owned, Anti-ICE Solidarity",Ecuadorian restaurant; posted public solidarity statement,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Loma Bonita,Minneapolis,Restaurant,"Immigrant Owned, Anti-ICE Solidarity",Provided free food delivery for those impacted by ICE; posted solidarity,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Bymore Supermercado,Minneapolis,Market/Restaurant,"Immigrant Owned, Anti-ICE Solidarity",Provided free food delivery for those impacted by ICE,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Colonial Market and Restaurant,Minneapolis,Restaurant,"Immigrant Owned, Anti-ICE Solidarity",Provided free food delivery for those impacted by ICE; posted solidarity,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Valerie's Carniceria,Minneapolis,Restaurant/Market,"Immigrant Owned, Anti-ICE Solidarity",Provided free food delivery for those impacted by ICE,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Little Tijuana,Minneapolis,Restaurant,"Immigrant Owned, Anti-ICE Solidarity",Mexican restaurant; posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Órale,Minneapolis,Restaurant,"Immigrant Owned, Anti-ICE Solidarity",Mexican restaurant; posted public solidarity statement,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Tacos El Kevin,Minneapolis,Restaurant,"Immigrant Owned, Anti-ICE Solidarity",Mexican taqueria; posted public solidarity statement,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Lito's Burritos,Minneapolis,Restaurant,"Immigrant Owned, Anti-ICE Solidarity",Mexican restaurant; posted public solidarity statement,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Alma,Minneapolis,Restaurant,Anti-ICE Solidarity,Fine dining; posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Dovetail,Minneapolis,Restaurant,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Falling Knife Brewing,Minneapolis,Brewery/Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Northbound Smokehouse Brewpub,Minneapolis,Brewery/Restaurant,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Nightingale,Minneapolis,Restaurant,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Curioso,Minneapolis,Restaurant/Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Eato,Minneapolis,Restaurant,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Bauhaus Brew Labs,Minneapolis,Brewery/Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Dual Citizen Brewing,St. Paul,Brewery/Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Saint Paul Brewing,St. Paul,Brewery/Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Barrel Theory Beer Company,St. Paul,Brewery/Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Wabasha Brewing,St. Paul,Brewery/Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
La Doña Cervecería,Minneapolis,Brewery/Bar,"Immigrant Owned, POC Owned, Anti-ICE Solidarity",Latina-owned brewery; posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Arbeiter Brewing,Minneapolis,Brewery/Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Back Channel Brewing,Spring Park (Suburb),Brewery/Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Insight Brewing,Minneapolis,Brewery/Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
56 Brewing,Minneapolis,Brewery/Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
9 Mile Brewing,Minneapolis Area,Brewery/Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Fat Pants Brewing,Minneapolis Area,Brewery/Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Headflyer Brewing,Minneapolis,Brewery/Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Gambit Brewing,Minneapolis Area,Brewery/Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Utepils Brewing,Minneapolis,Brewery/Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Can Can Wonderland,St. Paul,Bar/Entertainment,"LGBT+ Friendly, Anti-ICE Solidarity",Art bar; posted solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Francis Burger Joint,Minneapolis,Restaurant,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Bichota Coffee,Minneapolis (38th & Chicago),Café,Anti-ICE Solidarity,Located at George Floyd Square; posted solidarity statement; community-focused,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Backstory Coffee,Minneapolis,Café,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Boiler Room Coffee,Minneapolis,Café,Anti-ICE Solidarity,Posted public solidarity statement,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
WildFlyer Coffee,Minneapolis,Café,Anti-ICE Solidarity,Social enterprise; posted solidarity statement,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Mosaic Coffee,Minneapolis,Café,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Northern Coffee Works,Minneapolis Area,Café,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Makwa Coffee,Minneapolis,Café,"Indigenous Owned, Anti-ICE Solidarity",Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Arya Cafe,Minneapolis,Café,"Immigrant Owned, Anti-ICE Solidarity",Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Catzen Coffee,St. Paul,Café,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Dark Horse Bar,Minneapolis,Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Carnival Bar,Minneapolis,Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Bar Oscar,Minneapolis,Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Chloe,Minneapolis,Restaurant/Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Cream and Amber,Minneapolis,Restaurant,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Milly's Wine Bar & Bistro,Minneapolis,Restaurant/Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Estelle,St. Paul,Restaurant,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Russel's,St. Paul,Restaurant,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Earl Giles,Minneapolis,Restaurant/Bar/Distillery,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Wrecktangle Pizza,Minneapolis,Restaurant,Anti-ICE Solidarity,Donates a pizza for every pizza purchased with solidarity note; posted solidarity Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Mothership Pizza,Minneapolis,Restaurant,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Bryn Mawr Pizza & Deli,Minneapolis,Restaurant,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Picnic,Minneapolis,Restaurant,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Angry Line Cook,Minneapolis,Restaurant,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Modern Times Bar & Restaurant,Minneapolis,Bar/Restaurant,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
